RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,SUCCESSES,ATTEMPTS,YEAR
1,,Brooks Koepka,64,74,74,100,Y2018
2,,Chez Reavie,93,73.13,98,134,Y2018
3,,Tiger Woods,68,70.63,89,126,Y2018
4,,Rickie Fowler,74,70.37,76,108,Y2018
5,,Wesley Bryan,69,70.31,90,128,Y2018
6,,Matt Jones,70,70.18,80,114,Y2018
7,,Danny Lee,88,69.88,116,166,Y2018
8,,Nate Lashley,51,69.66,62,89,Y2018
9,,Patrick Reed,94,69.6,87,125,Y2018
10,,Joel Dahmen,93,68.49,100,146,Y2018
11,,Tyrrell Hatton,58,68.35,54,79,Y2018
12,,Seamus Power,86,68.29,112,164,Y2018
13,,Kevin Na,91,67.88,112,165,Y2018
14,,Byeong Hun An,86,67.72,107,158,Y2018
T15,,Tony Finau,105,67.18,88,131,Y2018
T15,,Ryan Moore,78,67.18,88,131,Y2018
17,,Kelly Kraft,94,67.17,133,198,Y2018
18,,Peter Malnati,87,67.03,124,185,Y2018
19,,Hideki Matsuyama,75,66.94,83,124,Y2018
20,,Bud Cauley,55,66.67,62,93,Y2018
21,,Kevin Kisner,89,66.43,93,140,Y2018
22,,Tom Hoge,101,66.02,136,206,Y2018
23,,Webb Simpson,95,65.97,95,144,Y2018
24,,Alex Noren,67,65.85,81,123,Y2018
25,,Nick Taylor,94,65.8,127,193,Y2018
26,,Johnson Wagner,75,65.75,96,146,Y2018
27,,Hunter Mahan,67,65.63,84,128,Y2018
28,,Ben Crane,65,65.6,82,125,Y2018
29,,Dustin Johnson,77,65.57,80,122,Y2018
T30,,Austin Cook,107,65.45,125,191,Y2018
T30,,Kevin Streelman,94,65.45,108,165,Y2018
32,,Justin Thomas,91,65.41,87,133,Y2018
33,,Zach Johnson,94,65.24,107,164,Y2018
T34,,Marc Leishman,93,65.19,103,158,Y2018
T34,,William McGirt,84,65.19,103,158,Y2018
36,,Bryson DeChambeau,93,65.15,86,132,Y2018
37,,Ian Poulter,73,65.14,71,109,Y2018
T38,,Billy Horschel,86,65.03,93,143,Y2018
T38,,Jonathan Randolph,71,65.03,93,143,Y2018
40,,Brian Harman,94,65,104,160,Y2018
41,,Chris Kirk,108,64.93,137,211,Y2018
42,,Jim Furyk,50,64.76,68,105,Y2018
43,,Scott Piercy,84,64.74,101,156,Y2018
44,,Gary Woodland,96,64.66,75,116,Y2018
45,,Justin Rose,70,64.63,53,82,Y2018
T46,,Matt Kuchar,88,64.54,91,141,Y2018
T46,,Chris Stroud,81,64.54,91,141,Y2018
48,,Ryan Armour,109,64.53,131,203,Y2018
49,,James Hahn,85,64.49,89,138,Y2018
50,,Cameron Smith,85,64.47,98,152,Y2018
51,,Rory Sabbatini,91,64.29,108,168,Y2018
52,,Ben Silverman,90,64.16,111,173,Y2018
53,,Sean O'Hair,67,64.1,75,117,Y2018
54,,Brian Gay,103,64.06,164,256,Y2018
T55,,Lucas Glover,65,64,64,100,Y2018
T55,,Troy Merritt,89,64,112,175,Y2018
57,,Cameron Percy,56,63.95,55,86,Y2018
58,,Fabián Gómez,88,63.91,108,169,Y2018
59,,Dominic Bozzelli,65,63.87,99,155,Y2018
60,,Chad Campbell,87,63.82,97,152,Y2018
61,,Russell Knox,94,63.73,123,193,Y2018
62,,Jamie Lovemark,92,63.68,121,190,Y2018
T63,,Aaron Baddeley,84,63.64,112,176,Y2018
T63,,Xander Schauffele,96,63.64,98,154,Y2018
65,,Alex Cejka,77,63.5,87,137,Y2018
66,,Roberto Díaz,72,63.45,92,145,Y2018
67,,Patrick Rodgers,97,63.33,133,210,Y2018
68,,Ethan Tracy,72,63.19,91,144,Y2018
69,,John Huh,94,63.08,123,195,Y2018
70,,Bill Haas,76,63.03,104,165,Y2018
71,,Graeme McDowell,67,63.01,92,146,Y2018
72,,Adam Hadwin,92,62.86,88,140,Y2018
73,,Emiliano Grillo,94,62.8,103,164,Y2018
